lab-zabbix-server  |    434:20260514:005013.294 server #42 started [trapper #4]
lab-zabbix-server  |    428:20260514:005013.294 server #36 started [poller #9]
lab-zabbix-server  |    435:20260514:005013.295 server #43 started [trapper #5]
lab-zabbix-server  |    433:20260514:005013.295 server #41 started [trapper #3]
lab-zabbix-server  |    436:20260514:005013.297 server #44 started [icmp pinger #1]
lab-zabbix-server  |    438:20260514:005013.298 server #46 started [history poller #1]
lab-zabbix-server  |    439:20260514:005013.298 server #47 started [history poller #2]
lab-zabbix-server  |    437:20260514:005013.300 server #45 started [alert syncer #1]
lab-zabbix-server  |    440:20260514:005013.300 server #48 started [history poller #3]
lab-zabbix-server  |    445:20260514:005013.301 server #53 started [odbc poller #1]
lab-zabbix-server  |    441:20260514:005013.303 server #49 started [history poller #4]
lab-zabbix-server  |    450:20260514:005013.303 server #58 started [internal poller #1]
lab-zabbix-server  |    451:20260514:005013.304 server #59 started [proxy group manager #1]
lab-zabbix-server  |    442:20260514:005013.305 server #50 started [history poller #5]
lab-zabbix-server  |    447:20260514:005013.305 server #55 started [agent poller #1]
lab-zabbix-server  |    443:20260514:005013.307 server #51 started [availability manager #1]
lab-zabbix-server  |    444:20260514:005013.307 server #52 started [trigger housekeeper #1]
lab-zabbix-server  |    449:20260514:005013.307 server #57 started [configuration syncer worker #1]
lab-zabbix-server  |    447:20260514:005013.308 thread started
lab-zabbix-server  |    448:20260514:005013.308 server #56 started [snmp poller #1]
lab-zabbix-server  |    448:20260514:005013.308 thread started
lab-zabbix-server  |    446:20260514:005013.311 server #54 started [http agent poller #1]
lab-zabbix-server  |    446:20260514:005013.311 thread started
lab-zabbix-server  |    399:20260514:005013.397 [1] thread started [preprocessing worker #1]
lab-zabbix-server  |    399:20260514:005013.397 [2] thread started [preprocessing worker #2]
lab-zabbix-server  |    399:20260514:005013.398 [3] thread started [preprocessing worker #3]
lab-zabbix-server  |    399:20260514:005013.398 [4] thread started [preprocessing worker #4]
lab-zabbix-server  |    399:20260514:005013.398 [5] thread started [preprocessing worker #5]
lab-zabbix-server  |    399:20260514:005013.398 [6] thread started [preprocessing worker #6]
lab-zabbix-server  |    399:20260514:005013.398 [7] thread started [preprocessing worker #7]
lab-zabbix-server  |    399:20260514:005013.398 [8] thread started [preprocessing worker #8]
lab-zabbix-server  |    399:20260514:005013.398 [9] thread started [preprocessing worker #9]
