lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:03 +0000] "POST /zabbix.php?action=latest.view.refresh HTTP/1.1" 200 34 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:11 +0000] "POST /zabbix.php?action=latest.view.refresh HTTP/1.1" 200 13394 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:13 +0000] "POST /jsrpc.php?output=json-rpc HTTP/1.1" 200 74 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:17 +0000] "POST /zabbix.php?action=notifications.get&output=ajax HTTP/1.1" 200 556 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:24 +0000] "POST /jsrpc.php?output=json-rpc HTTP/1.1" 200 74 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:34 +0000] "POST /zabbix.php?action=latest.view.refresh HTTP/1.1" 200 34 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:35 +0000] "POST /jsrpc.php?output=json-rpc HTTP/1.1" 200 74 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:42 +0000] "POST /zabbix.php?action=latest.view.refresh HTTP/1.1" 200 13403 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:46 +0000] "POST /jsrpc.php?output=json-rpc HTTP/1.1" 200 74 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:47 +0000] "GET / HTTP/1.1" 200 4061 "-" "curl/7.81.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:43:57 +0000] "POST /jsrpc.php?output=json-rpc HTTP/1.1" 200 74 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
lab-zabbix-web  | 172.18.0.1 - - [14/May/2026:02:44:05 +0000] "POST /zabbix.php?action=latest.view.refresh HTTP/1.1" 200 34 "http://localhost:8080/zabbix.php?name=&evaltype=0&tags%5B0%5D%5Btag%5D=&tags%5B0%5D%5Boperator%5D=0&tags%5B0%5D%5Bvalue%5D=&show_tags=3&tag_name_format=0&tag_priority=&state=-1&filter_name=&filter_show_counter=0&filter_custom_time=0&sort=name&sortorder=ASC&show_details=0&action=latest.view&groupids%5B%5D=22&hostids%5B%5D=10685" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 OPR/131.0.0.0" "-"
