lab-python-app  | 127.0.0.1 - - [14/May/2026 02:35:01] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:35:16] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:35:31] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:35:46] "GET /health HTTP/1.1" 200 -
lab-python-app  | 172.18.0.5 - - [14/May/2026 02:36:01] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:36:02] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:36:17] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:36:32] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:36:47] "GET /health HTTP/1.1" 200 -
lab-python-app  | 172.18.0.5 - - [14/May/2026 02:37:01] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:37:02] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:37:17] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:37:32] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:37:47] "GET /health HTTP/1.1" 200 -
lab-python-app  | 172.18.0.5 - - [14/May/2026 02:38:01] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:38:03] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:38:18] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:38:33] "GET /health HTTP/1.1" 200 -
lab-python-app  | 172.18.0.1 - - [14/May/2026 02:38:33] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:38:48] "GET /health HTTP/1.1" 200 -
lab-python-app  | 172.18.0.5 - - [14/May/2026 02:39:01] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:39:03] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:39:18] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:39:34] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:39:49] "GET /health HTTP/1.1" 200 -
lab-python-app  | 172.18.0.5 - - [14/May/2026 02:40:01] "GET /health HTTP/1.1" 200 -
lab-python-app  | 127.0.0.1 - - [14/May/2026 02:40:04] "GET /health HTTP/1.1" 200 -
