lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 17 (SIGCHLD) received from 30
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 30 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 34 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 40 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 29 (SIGIO) received
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 17 (SIGCHLD) received from 39
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 39 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 29 (SIGIO) received
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 17 (SIGCHLD) received from 35
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 35 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 29 (SIGIO) received
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 17 (SIGCHLD) received from 31
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 31 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 33 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 29 (SIGIO) received
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 17 (SIGCHLD) received from 33
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 32 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 37 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 41 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 29 (SIGIO) received
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: signal 17 (SIGCHLD) received from 36
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: worker process 36 exited with code 0
lab-nginx  | 2026/05/14 02:15:49 [notice] 1#1: exit
lab-nginx  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
lab-nginx  | /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
lab-nginx  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
lab-nginx  | 10-listen-on-ipv6-by-default.sh: info: IPv6 listen already enabled
lab-nginx  | /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
lab-nginx  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
lab-nginx  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
lab-nginx  | /docker-entrypoint.sh: Configuration complete; ready for start up
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: using the "epoll" event method
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: nginx/1.27.5
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: OS: Linux 6.6.114.1-microsoft-standard-WSL2
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker processes
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 22
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 23
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 24
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 25
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 26
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 27
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 28
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 29
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 30
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 31
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 32
lab-nginx  | 2026/05/14 02:23:45 [notice] 1#1: start worker process 33
lab-nginx  | 172.18.0.1 - - [14/May/2026:02:23:57 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.81.0" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:24:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:25:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:26:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:27:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:28:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:29:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:30:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:31:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:32:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:33:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:34:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:35:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:36:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:37:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:38:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.1 - - [14/May/2026:02:38:33 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.81.0" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:39:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:40:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:41:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:42:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:43:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.1 - - [14/May/2026:02:43:38 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.81.0" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:44:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:45:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:45:20 +0000] "GET / HTTP/1.1" 200 615 "-" "Wget" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:46:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:47:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:48:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
lab-nginx  | 172.18.0.5 - - [14/May/2026:02:49:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Zabbix" "-"
